,Job_Role,Company,Location,Job Experience,Skills,Job_Description
3216,Azure Data Engineer opening @ NielsenIQ,Nielseniq India,Chennai,3-8,"python, Data Pipeline, Azure Databricks, Azure Data Lake, Data, Pipeline, Microsoft Azure, Data Lake",Full time . Acts as point-of-contact between Stat Ops Operations and internal client se...
3217,"Sr. Azure Data Engineer (Python , SQL, Pyspark, ADF & Databricks)",Dreambig It Solutions India,"Noida, Mumbai, Ghaziabad, Nagpur, Pune, Gurgaon/Gurugram, Chennai",6-11,"Azure, Pyspark, python, pyspark, Data engineering, Data Analyst, Data Brick, data bricks",Azure Data Engineering certification preferred12 years of experience as Data Engineer N...
3218,Senior Python Data Engineer,Luxoft,Chennai,5-10,"Backend, Coding, Postgresql, Debugging, Unit testing, Apache, JIRA, Monitoring","Application of applymap, apply, map functions. Concurrency and error handling data pipe..."
3219,Data Engineer/ACD/DADW/5167/Amdocs,Innova Solutions India,Chennai,5-6,"Managed services, Bidding, Staffing, spark, Billing, SCALA, Budgeting, Amdocs",. Chennai client location . Must work from office from Day 1 . Required Skills: . Azure...
3220,Data Engineer (Azure Databricks),Teradata,"Hybrid - Pune, Maharashtra, Mumbai (All Areas)",2-6,"Azure Databricks, Azure Data Factory, Pyspark, RDBMS, Datastage, Informatica, Teradata, Python",Others : . Ready to work in ShiftsGood understand of batch and real time data along wit...
3221,Data Engineer,NeoSOFT,"Thane, Maharashtra, Navi Mumbai, Maharashtra, Kalyan/ Dombivli, Maharashtra, Mumbai (All Areas)",2-2,"Data Engineering, Pandas, Numpy, SQL, Python, Engineering, Data",NeoSOFT Private Limited - We are SEI-CMMI Level- 5 and ISO 9001:2008 certified global I...
3222,Urgent Hiring For Data Engineer with a Product based MNC.,Peoplefy Infosolutions,Hybrid - Pune,3-8,"Pyspark, python, Data Bricks, Bricks, Data, Hiring",We are looking for candidates with 3 + years of experience in as a Data Engineer
3223,Data Engineer (Python & SQL) - Building Reports & Dashboard - 2+ Years,Headquest Hiring Solutions,Mumbai (All Areas),2-6,"python, Data Engineering, RestAPIs, dashboards, sql, scripting, analytical, strong analytical skills",Shift Timing: 12:30 PM to 9:30 PM (Work from office)Required Skills: . Strong analytica...
3224,Data Engineer - Pricing,Argus India Price Reporting Services,Mumbai,2-3,"Development Manager, Consulting, MySQL, Data processing, Healthcare, Customer service, Oracle, Recruitment","The team supports Argus key . business processes every day, as such you will be require..."
3225,Data Engineer I,Nissan Technical Centre,Trivandrum/Thiruvananthapuram,0-2,"RDBMS, Coding, Analytical, Agile, Data processing, Data quality, Open source, Automotive",Ensure that the guidelines laid out by the architect is adhered to Ensure adherence to ...
