,Job_Role,Company,Location,Job Experience,Skills,Job_Description
73,Hadoop Developer- Java,Luxoft,Hyderabad/Secunderabad,4-8,"Coding, Enterprise applications, Bfsi, MySQL, Agile, Software development life cycle, Open source, SQL","As a member of our Software Engineering Group, we look first and foremost for people wh..."
74,F2B EQD Java Developer - Software Engineer,BNP Paribas,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-5,"Coding, Business analysis, Project management, Analytical, Manager Quality Control, Troubleshooting, Risk management, Continuous improvement",Experience of Software Development Life Cycle . Should be extremely good at troubleshoo...
75,SAP Master Data Governance MDG Tool Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Automation, Production support, System design, Ale, Master data management, SAP MDG, WebDynPro ABAP, data governance",Educational Qualification : 1 15 years continuous education Computer Bachelors degree i...
76,SAP CPI For Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"SAP, SAP CPI, azure data lake, team management, sap data services, web technologies, sap bo, MSSQL",Educational Qualification : 15 Years of Full Time Education . Work Experience :4-6 year...
77,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"O2C, SAP, SAP SD, SAP BODS, ABAP, Data loads, S/4 HANA Implementation, SAP BusinessObjects Data Services",Educational Qualification : Minimum 15 years of full time education Must Have Skills :S...
78,Microsoft Azure Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Debugging, JSON, SDLC, SQL, Consulting, Azure, Azure DataBricks Resource, Azure development Resource",Work Experience :4-6 years
79,Microsoft Azure Data Services Application Developer,Accenture,Hyderabad/Secunderabad,2-4,"Azure PAAS, ADF, JSON, ADB, Azure, Azure DataBricks Resource, Azure development Resource, DataBricks",Work Experience :5-4 years
80,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,6-8,"SAP, SAP BODS, Data Standardization, data services, business objects, data migration, Data cleansing, Oracle",Educational Qualification : Min 15 years of full time education . Professional Attribut...
81,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Data migration, SAP ABAP, SAP BODS, O2C, SAP SD, SAP Implementation, Migration, Development",Educational Qualification : Minimum 15 years of full time education Must Have Skills :S...
82,Microsoft Azure Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Azure Data Factory, Debugging, JSON, SDLC, SQL, PAAS, Azure Data Bricks, ETL",Work Experience :4-6 years
83,Microsoft Azure Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Azure DataBricks, Debugging, JSON, SDLC, SQL, Azure PAAS, DataBricks, PAAS",Work Experience :4-6 years
84,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Data migration, SAP SD, SAP BODS, ABAP, Business objects, SAP BusinessObjects, SAP BusinessObjects Data Services Application Developer, Application",Educational Qualification : Minimum 15 years of full time education . Must Have Skills ...
85,Microsoft Azure Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Microsoft Azure Data Services, DataBricks, Azure Data Factory, PAAS, Analytical, Cloud, Debugging, JSON",Work Experience :4-6 years
86,Microsoft Azure Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Debugging, JSON, SDLC, SQL, Azure development, Azure PAAS, PAAS, Data Bricks",Work Experience :4-6 years
87,Microsoft Azure Data Services Application Developer,Accenture,Hyderabad/Secunderabad,2-4,"Azure, Azure Data Services, AWS, Azure PAAS, DataBricks, Azure Data Factory, PYSPARK, Azure data Factory",Work Experience :5-4 years
88,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,6-8,"data cleansing, Automation, Data migration, SAP, SAP BusinessObjects, SAP BODS, SAP S4 Hana, Oracle",Educational Qualification : Min 15 years of full time education . Professional Attribut...
89,SAP CPI For Data Services Application Developer,Accenture,Hyderabad/Secunderabad,8-10,"SAP, Script writing, Cloud, APO, azure data lake, ECC, IBP, Azure data lake storage",Educational Qualification : Minimum 15-year full time education . Work Experience :8-10...
90,SAP CPI - Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"SAP CPI, Application development, Application Design, SAP SDI, Data Services, SDI, Design, Data",Technical Experience : 1 - Must have experience in SAP CPI2 - Good to have Data service...
91,SAP CPI For Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"SAP, SAP CPI, Business process, data services, SOAP, Salesforce, Testing, Application",Job Requirements : Key Responsibilities : a - Should have 5 yrs experience Should be ab...
92,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,6-8,"System architecture, Data quality, ABAP, Business process, SAP SD, data services, SAP Data Service, BODS","Technical Experience : 1 Skilled in LSMW / BDC Programming, LTMC / LTMOM, SAP Data Serv..."
93,Hiring Hadoop Data Engineer For Leading Banking Client,Photon,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",10-20,"scala, Spark, hadoop, Python, Leadership, Data, Client, Hiring","his is a Sr Development focussed roleOn-Prem instance, not cloudAbility to use Spark/Sc..."
94,Staff Engineer (Java fullstack Developer),Nagarro,"Noida, Uttar Pradesh, Kolkata, Hyderabad/Secunderabad, Pune, Gurgaon/ Gurugram, Haryana, Chennai, Jaipur, Rajasthan, Bangalore/ Bengaluru, Karnataka, Mumbai (All Areas)",4-8,"Java Fullstack, Microservices, Angular, Spring Mvc, ant, spring core, maven, unit testing","REQUIREMENTS: . Must have experience as Java Full stack developerIdentify, analyse, and..."
95,Senior Big Data Developer - Hadoop/ Java,Career Infosystem,Bangalore/Bengaluru,8-12,"Java, RDBMS, Hadoop, Big Data, HDFS, J2EE, Data Analytics, Distributed Systems","- Experience in using the cloud services like Amazon EMR, S3, EC2, Red shift and Athena..."
96,Big Data Developer / Senior Big Data Developer,Dreambig It Solutions India,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",5-9,"Big Data, Pyspark, SQL queries, Docker, XML, XSLT, JSON, AWS",Remote (Permanent work from home). Software Developer 5+ of enterprise software develop...
97,SAP MDG - Financial Data (MDG-F Tool) Application Developer,Accenture,Hyderabad/Secunderabad,2-4,"SAP MM, Web Dynpro, SAP Master Data Governance, Object oriented programming, Application Development, Data modeling, SAP Implementation, Program",Educational Qualification : 1 15 years of full time education 2 M Tech or B Tech . Tech...
98,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,6-8,"SAP ECC, Data migration, SAP FICO, SAP ABAP, SAP BODS, SAP S/4 HANA, Application Development, SQL",Work Experience :6-8 years
99,SAP BusinessObjects Data Services Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Business process, Data migration, Interpersonal skills, Consulting, ABAP, data services, LSMW, SAP SD",Key Responsibilities : 1 Having min 4-5 years experience of manging Data loads and atle...
100,Snowflake Data Warehouse Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"Snowflake, PL/SQL, Azure, metadata, RDBMS, Unix Shell Scripting, data structures, AWS",D Experience with AWS or Azure data storage and management technologies such as S3 and ...
101,SAP Master Data Governance MDG Tool Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"SAP, Master Data Governance, SAP MDG, FPM, framework Data transfer, IDOC, ABAP, SAP Module",Educational Qualification : graduate engineering Technical Experience : 1 Experience in...
