,Job_Role,Company,Location,Job Experience,Skills,Job_Description
812,Azure Data Engineer,TRH Consultancy Services,"Mumbai, Hyderabad/Secunderabad, New Delhi, Pune, Chennai, Bangalore/Bengaluru",14-19,"Azure Data Factory, ADF, Azure SQL Data Warehouse, Azure Data Lake, Warehouse, Data Lake, Data, Data warehousing",Design and develop new solutions on the Azure Cloud Platform specifically for Azure SQL...
813,Lead - Scala Data Engineer,AVE Promagne,"Noida, Mumbai, Chandigarh, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Coimbatore, Bangalore/Bengaluru",7-12,"Scala, Gemfire, CSV, JSON, Apache, AVRO, data engineering, SQL","Bachelor’s degree (in Computer Science, Information Technology).• Must have good progra..."
814,GCP Data Engineer,TRH Consultancy Services,"Noida, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru",7-12,"data engineering, Azure ADLS, AWS, Redshift, SQL, Python, GCP, Data","Experience of AWS EMR, AWS Glue, AWS Redshift or Azure HDInsights, Azure ADF, Azure ADL..."
815,Python Data Engineer,TRH Consultancy Services,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",14-19,"Python Data Engineer, PySpark, Spark SQL, Scala Databrick, Azure databrick, Pandas, Python Data, Pandas","Python (Pandas and PySpark) Scala(for Spark SQL)SQL server Spark SQL(2.4), Azure databr..."
816,Python Data Engineer,TRH Consultancy Services,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",8-13,"PySpark, Scala Databrick, Pandas, SCALA, Pandas, Data, Data Bricks, Python",Roles and ResponsibilitiesPython (Pandas and PySpark) Scala(for Spark SQL)SQL server Sp...
817,GCP Data Engineer,TRH Consultancy Services,"Kolkata, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8,"GCP Data Engineer, Cloud SQL, Apache Airflow., BigQuery, Git, JSON, SQL, Python","Well-established experience in all phases of development requirement gathering, system ..."
818,Technical Lead Data Engineer - Power BI,Srijan Technologies Pvt. Ltd.,"Kolkata, Indore, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru",5-8,"SAN, Cloud computing, Data analysis, MIS, Analytical, Healthcare, Presales, Operations","Design, develop, optimize, and maintain data architecture and pipelines that adhere to ..."
819,AWS Data Engineer ( Contract),CLoud Staff Solutions,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",10-12,"AWS, AWS Cloud Platform, AWS Databricks, DevOps, AWS Data Engineer, SQL, Python, Cloud","Strong experience in SDLC delivery, including waterfall, hybrid and Agile methodologies..."
820,GCP Data Engineer,TRH Consultancy Services,"Noida, Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru",5-10,"Data engineering, hive, python, data extraction, Azure, gcp, unit testing, aws","Experience in query languages like SQL, and HiveGood experience in DBT"
821,Azure Data Engineer - Databricks / Data Warehousing,BKTC,"Mumbai, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",4-9,"Azure Data Engineering, Microsoft Azure, Data Warehousing, Databricks, COSMOS DB, SQL DW, Data Engineering, Engineering","Responsibilities :- Assure that data is cleansed, mapped, transformed, and otherwise op..."
822,Solutions Architect -Data Engineering,Inflexon Point,Hyderabad/Secunderabad,7-11,"Data Engineering, Data Lakes, Azure, project delivery project scoping, Kafka, data science, GCP, Spark",Experience working with clients and managing conflictsExperience working across Cloud P...
823,Lead Engineer -EDW and Azure Data Engineer,Pepsi Foods,Hyderabad/Secunderabad,5-6,"Computer science, Enterprise architecture, MIS, Agile, FMCG, Continuous improvement, Teradata, Information technology","Bachelor s degree in Computer Science, MIS, Business Management, or related field . 5 y..."
