,Job_Role,Company,Location,Job Experience,Skills,Job_Description
38,Data Scientist,IBS Software Services,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8,"Cloud computing, data science, Analytical, Machine learning, Business solutions, Forecasting, IPS, SQL",Hands-on experience of 3-5 years in Data Science . Strong in Applied Machine Learning a...
39,Senior Data Scientist,Corporate Steps,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10,"Version control, Publishing, HR Professional, model development, Data processing, power bi, Capital market, big data","Proven experience in working with large datasets Worked on structured, semi-structured ..."
40,Sr Data Scientist / Consultant,Curemd,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-6,"Statistical programming, Administration, C++, Machine learning, SCALA, Data collection, Healthcare, Data mining",Any bachelors degree - important to have knowledge and conceptual clarity in mathematic...
41,Principal Data Scientist,Agilon Health,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",5-10,"Machine learning, Healthcare, Scrum, Epidemiology, Operations, Statistics, Principal, SQL",Experience training and deploying models in a production environmentExperience . leadin...
42,Data Scientist,Analytos,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",2-4,"Text mining, deep learning, NoSQL, RF, data science, Data research, Data modeling, Manager Technology",You will collaborate with the brightest technical minds in building futuristic products...
43,Data Scientist,WSD Consultant,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",1-5,"E-learning, data science, Application programming, Artificial Intelligence, Machine learning, Manager Technology, Doctor, Management","Undertaking data collection, preprocessing and analysis Building models to address busi..."
44,Senior Data Scientist - Retail,Tredence,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4-7,"Data analysis, Data management, Analytical, Machine learning, Data structures, Predictive modeling, Troubleshooting, Data mining",". Bachelors or Masters degree in a quantitative field (CS, machine learning, mathematic..."
45,Data Scientist,Open Insights,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-6,"C++, Linux, Agile scrum, Machine learning, Programming, Object oriented programming, Statistics, SQL",Developing machine learning models against datasets to generate insights to support pro...
46,Solution Architect,Scribble Data,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",1-2,"NoSQL, data science, Time series analysis, Customer engagement, MATLAB, Solution Architect, SQL, Python",Experience developing and implementing best-in-class algorithms for multiple among user...
47,Data Scientist,Intellect Design Arena,"Mumbai, Hyderabad/Secunderabad, New Delhi, Pune, Chennai",2-7,"Nlp, Data Scientist, Natural Language Processing, Machine Learning, Deep Learning, data, process, processing",Who we are looking for A Natural Language Processing (NLP) expert with strong computer ...
48,Data Scientist,ATG Business Solutions,"Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)",1-3,"Data Scientist, PHD, Data Science, data mining, operations research, data visualization, Data Analytics, Science","The ideal candidate should have strong experience in deep analytics, data mining, data ..."
49,Data Scientist,Capital Placement Services,"Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",2-7,"Computer science, Operations research, Machine learning, Agile methodology, Predictive modeling, Data mining, Forecasting, Monitoring","Experience with predictive modeling, deploying, and monitoring ML solutions in an itera..."
50,Senior / Lead Data Scientist - Pharma,Tiger Analytics,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",8-12,"Pharma, Analytical, Consulting, Machine learning, Healthcare, Forecasting, Analytics, SQL","Experience working with healthcare datasets such as claims, EHR, CRM etc . 8 - 12 years..."
51,Data Scientist,Innominds Software,"Hybrid - Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",7-12,"Cloud, Python, Artificial Intelligence, machine learning, Deep Learning, Machine, Data, Intelligence","Should have experience in Neural Networks, TensorFlow, Kesar Should have experience in ..."
52,Data Scientist,Sumeru Software Solutions,"Hybrid - Mumbai, Maharashtra, Hyderabad/Secunderabad, Chennai, Tamil Nadu, Coimbatore, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",7-12,"Pyspark, Data Scientist, Python, sql, nosql, Data",SKILLS: 1. Experience in Data Science and Statistical modeling2. Proficiency in Python ...
53,Senior Data Scientist | FedEx,Talent500,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",6-10,"Python, Senior, Fedex, Data","Job Requirements:Python programming, Splunk SPL Query, Oracle SQL Query, Power BI Repor..."
54,Data Scientist | Victoria's Secret,Talent500,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",2-6,"Python, S, Data",Responsibilities Use various statistical techniques like but not limited to predictive ...
55,Data Architect/LDS,Cyient,Hyderabad/Secunderabad,10-15,"Data analysis, Semiconductor, Aerospace, Machine learning, Healthcare, Data mining, SQL, Python",Should have 10-15 years hands-on experience in algorithms and implementation of analyti...
56,Python and ML Trainer,Thescholar,"Hyderabad/Secunderabad, New Delhi, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",3-8,"Training, deep learning, Version control, GIT, MIN, Linux, Django, Machine learning",Eligibility: Graduate with minimum 3 year experience in Python/ ML Industry/ Training e...
57,Senior Data Scientist,Savantys Solutions,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",5-10,"deep learning, Neural networks, Pharma, Analytical, SAAS, Healthcare, Forecasting, Statistics",Should be able to implement solutions for industries e.g 3+ years of experience using a...
58,Lead Data Scientist,Siemens,Bangalore/Bengaluru,4-9,"Supply chain management, Business analysis, GCP, Agile, Siemens, HTML, high performance computing, data visualization",Hands-on AI/ML modeling experience of complex datasets combined with a strong understan...
59,Data Scientist,Essenware Private Limted,Bangalore/Bengaluru,6-8,"deep learning, Version control, GIT, GCP, Time management, Analytical, Cloud, Agile","Experience with end-to-end model creation lifecycle activities, including data preproce..."
60,Senior Data Scientist,Cargill,Bangalore/Bengaluru,5-8,"Supply chain, Data analysis, Coding, Business analytics, Machine learning, Continuous improvement, Forecasting, Monitoring",Intelligent Supply Chain Senior Data Scientist will work collaboratively in multidiscip...
