,Job_Role,Company,Location,Job Experience,Skills,Job_Description
64,Business Analyst,Shri Ramswaroop Digital Technology Pvt Ltd,Lucknow,0-3,"user acceptance testing, business analysis, test scripts, GUI testing, Scripting, Acceptance testing, User acceptance, Software testing",Able to work under pressure and minimal supervision. Must have a streak of managing . S...
65,Guidewire/Duckcreek - Business Analyst,HTC Global Services,"Hybrid - Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru",10-16,"Business Analytics, Business Analysis, Insurance, Duck Creek, Guidewire, Analysis, Analytics",Job descriptionRoles and Responsibilities:Have 10+ years of overall years of experience...
66,Business Analyst,Synoriq Rd Opc,Jaipur,2-4,"Fintech, business analysis, Brd, project management, Use Cases, Business Analytics, Loan Management System, Requirement Gathering","Proficient with the Microsoft Office Suite, Google Docs, and Google Spreadsheets Good b..."
67,BUSINESS ANALYST,Atos,Chennai,2-5,"Junior Staff, Business Analyst, Diversity and Inclusion, Leadership training, Project management, Production, Management, User acceptance testing","Evaluating business processes, anticipating requirements, uncovering areas for improvem..."
68,Lending - Business Analyst,Deutsche Bank,Pune,2-5,"Loans, Data analysis, Production support, Business analysis, UML, Functional Analyst, Banking, Agile methodology",". To extend and maintain these systems, an experienced Functional Analyst is required. ..."
69,Business Analyst,Deutsche Bank,"Hybrid - Pune, Maharashtra",9-14,"Custody, Requirement Gathering, User Stories, Trade Settlements, settlements, Agile, Business Analysis, Analysis",Contribute to the High-level architecture and low-level implementation of business-crit...
70,Job opportunity | Business Analyst,Ugam Solutions Sez,"Hybrid - Pune, Maharashtra",4-8,"Business Analytics, Confluence, jira, SFCC, Magento, E-commerce, SFDC, Business analysis",Total Experience : 4 to 8 Years
71,Business Analyst,Dhani Stocks Limited,"Gurgaon/ Gurugram, Haryana",4-9,"business analysis, Business Analytics, Analysis, Analytics",Ideally having product experience in few products in the stock broking industry. . Abil...
72,Business Analyst,Synoriq Rd Opc,Jaipur,1-3,"accounting, Business Analytics, lending, Financial Accounting, General Accounting, business analysis, finance domain, Accounts And Finance",We offer flexibility in the work schedule and work from home so that you give your best...
73,Business Analyst - Bearing Manufacturing - Changodar - Ahmedabad,Prime Placement And Manpower Services,"Ahmedabad(Jaspur +220), Moraiya, Changodar",3-8,"Business Analyst, Ahmedabad, commercial, Vejalpur, technical, Gujarat, MBA, Marketing",BBA / MBA with 4 to 7 years of experience as Business Analyst in Bearing Manufacturing ...
74,Business Analyst - Kolkata - Work from Office,Advance Talent Services,Kolkata,3-8,"Business Analytics, Process Analysis, Business Analysis, Financial Analysis, Financial Service, Finance Analysis, Capital Market, Process Analytics","Produce visualization, user experience, and configuration elements of the solution design"
75,Business Analyst,Hikaho System,Chennai,4-9,"executive assistant, Business Analytics, Personal Assistance, documentation, leadership, business analysis, Business Administration, analysis",Preferred candidate profile . .
76,Business Analyst,ITC Infotech,Bangalore/Bengaluru,4-6,"risk management, cloud security, technical, business requirements, iso, cyber security, soc, information security",4 to 6 years where . - Experience in Security risk Management and KRA Reporting Experie...
77,Business Analyst,Airseva,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",3-8,"SAN, Data analysis, Product engineering, Analytical, Macros, Operations, Analytics, Monitoring","The Community Support Analytics, Business Analyst will support the business in deliveri..."
78,Business Analyst (WFO Only- Noida sector 125),Corrz Technosolutions,Noida,2-5,"Data Anlalytics, sql queries, business analysis, Sql Querying, Data Crunching, Wfo, Analysis, Query",Roles and Responsibilities Ability to synthesize complex data into actionable goals and...
79,Business Analyst.,Sledding Technologies,Mumbai,10-12,"Procurement, Sales, Networking, Business Analyst, Finance, Manager Technology, Research, Technology",Build contacts with potential clients to create new business opportunities for overseas...
80,Business Analyst,Gateway Group,"Pune, Maharashtra",1-6,"Requirement Gathering, Business Analysis, Gap Analysis, Presentation Skills, Use Cases, Documentation, User Stories, FRD","Bachelors degree in Business Administration, Computer Science, or a related fieldThe id..."
81,Business Analyst,Techahead Software,New Delhi,1-3,"Product management, Analytical, Process improvement, business rules, HTML, Scrum, market data, Business process modeling",Experience in creating web and mobile application Wireframes: Experience with tools lik...
82,Business Analyst,Datavail,Mumbai,8-10,"Payroll, Manager Quality Assurance, Business Analyst, Business analysis, Project management, Database administration, Agile, SDLC",Professional certifications such as CBAP (Certified Business Analysis Professional) or ...
83,Business Analyst,Viitorcloud Technologies,Ahmedabad,3-5,"IT services, Web services, Business Analyst, Project management, Resource allocation, Presales, Customer support, HTTP",. - Candidates must have work experience on wireframe / Feature listing / Scope of work...
84,Business Analyst,Auxilo Finserve,Mumbai (All Areas),5-8,"lending, Project Management, Brd, Digital Transformation, Gap Analysis, LOS, LMS, FRD",Preferably from housing or education loan domainExperience: 5-8 years.
85,Business Analyst,Zartek Technologies,"Kochi/ Cochin, Kerala",1-3,"business analysis, technical analysis, communication skills, Technical, Analysis",Documentation and expansion of the requirementCoding skills are not requiredThe candida...
86,Business Analyst,Grazitti Interactive,"Chandigarh, Chandigarh",2-5,"Business Analyst, Use Cases, Brd, Requirement Gathering, FSD, documentation, User Stories, business analysis",A bachelors degree in engineering or an MBA - Perform requirement analysis - Help the d...
87,Urgent Hiring - Business Analyst,Anacle Systems (india),"Hybrid - Pune, Maharashtra(Kasba +12)",4-9,"analytical, project delivery life cycle, communication skills, Hiring, Business analysis, Life cycle, Project, Delivery Life Cycle","Essential Skills and Experience . At least a Bachelors Degree, Post Graduate Diploma, P..."
88,Business Analyst/Project Manager,ProPMO Services Private Limited,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Bangalore/Bengaluru, Delhi / NCR",4-9,"SDLC, Asset Management Database, HCM, Business Analyst, Project Management, Financial system implementation, System Implementation, DBMS",Business Analyst &or Project Managers :We would need them to have exposure in the below...
89,Job Oppurtunity For freshers For Business Analyst role,Black And White Business Solutions,Bangalore/Bengaluru,0-1,"Communication Skills, Business Planning, Business Analytics, Problem Solving, Business Analysis, Video Editing, Data Analysis, Requirement Planning",Shift : Day Shift . Graduates : Any Technical Graduate or Post Graduate (Computer Scien...
